0[[2, 2, 7, 13, 4], [4, 10, 7, 9, 11], [11, 9, 3, 11, 2], [6, 0, 10, 12, 0], [9, 2, 9, 14, 5]]
347[[14, 2, 10, 3, 11], [13, 11, 5, 12, 4], [0, 13, 1, 9, 5], [9, 8, 10, 1, 4], [3, 13, 1, 5, 14]]

348[[4, 7, 12, 0, 12], [14, 5, 0, 2, 3], [8, 6, 5, 10, 10], [8, 0, 5, 14, 1], [14, 0, 3, 12, 10]]

349[[14, 12, 3, 2, 13], [11, 14, 14, 1, 14], [9, 8, 0, 14, 10], [14, 4, 2, 5, 3], [7, 5, 12, 3, 14]]

350[[2, 9, 0, 4, 13], [7, 0, 5, 6, 5], [8, 11, 8, 4, 8], [6, 2, 6, 8, 6], [1, 7, 3, 4, 9]]

351[[9, 2, 8, 1, 1], [3, 11, 7, 14, 3], [4, 6, 2, 13, 13], [5, 11, 6, 12, 7], [2, 13, 8, 0, 13]]

352[[14, 3, 2, 9, 5], [4, 13, 13, 12, 3], [8, 1, 6, 12, 5], [7, 10, 9, 3, 3], [3, 13, 1, 0, 12]]

